Repo,PR_number,Commits,Additions,Deletions,Files_Changed,Comments,Formal_Review,Inline_Comments_Review,NumPathsInFile,AvgPathCharLength,MaxPathCharLength
OpenHFT/Chronicle-Wire,1133,1,20,8,3,0,0.0,0,3,72.66666666666667,73
OpenHFT/Chronicle-Wire,1134,1,31,14,1,0,0.0,0,1,76.0,76
OpenHFT/Chronicle-Wire,1135,1,10,10,1,0,0.0,0,1,71.0,71
jdereg/json-io,318,1,6,49,4,0,0.0,0,4,40.0,50
jdereg/json-io,317,1,7,3,4,0,0.0,0,4,40.0,50
JetBrains/psiviewer,106,1,1,1,1,1,0.0,0,1,60.0,60
jdereg/java-util,292,1,28,0,2,0,0.0,0,2,38.0,64
jdereg/java-util,299,1,65,0,2,0,0.0,0,2,47.0,82
jdereg/java-util,300,2,69,3,2,0,0.0,0,2,43.5,75
jdereg/java-util,302,1,69,0,2,0,0.0,0,2,44.0,76
jdereg/java-util,303,1,57,0,1,0,0.0,0,1,81.0,81
OpenHFT/Chronicle-Logger,142,1,65,3,1,0,0.0,0,1,50.0,50
OpenHFT/Chronicle-Threads,312,1,9,0,1,0,0.0,0,1,70.0,70
OpenHFT/Chronicle-Threads,313,1,4,0,1,0,0.0,0,1,69.0,69
OpenHFT/Chronicle-Threads,314,1,12,0,1,0,0.0,0,1,63.0,63
OpenHFT/Chronicle-Threads,315,1,8,0,1,0,0.0,0,1,79.0,79
OpenHFT/Chronicle-Threads,316,1,9,0,1,0,0.0,0,1,63.0,63
OpenHFT/Chronicle-Threads,317,1,4,0,1,0,0.0,0,1,61.0,61
OpenHFT/Chronicle-Threads,318,1,8,0,1,0,0.0,0,1,68.0,68
OpenHFT/Chronicle-Threads,319,1,13,0,1,0,0.0,0,1,63.0,63
OpenHFT/Chronicle-Threads,320,1,9,0,1,0,0.0,0,1,68.0,68
OpenHFT/Chronicle-Threads,321,1,10,0,1,0,0.0,0,1,59.0,59
