full_name,number
OpenHFT/Chronicle-Values,111
OpenHFT/Chronicle-Values,112
OpenHFT/Chronicle-Values,113
OpenHFT/Chronicle-Values,117
OpenHFT/Chronicle-Values,119
OpenHFT/Chronicle-Values,120
OpenHFT/Chronicle-Values,121
OpenHFT/Chronicle-Values,122
OpenHFT/Chronicle-Values,124
OpenHFT/Chronicle-Values,126
OpenHFT/Chronicle-Values,127
OpenHFT/Chronicle-Values,128
OpenHFT/Chronicle-Values,129
OpenHFT/Chronicle-Core,810
OpenHFT/Java-Thread-Affinity,172
jdereg/java-util,359
apache/pinot,16085
OpenHFT/Chronicle-Core,744
OpenHFT/Chronicle-Core,748
OpenHFT/Chronicle-Core,751
OpenHFT/Chronicle-Core,753
OpenHFT/Chronicle-Core,754
OpenHFT/Chronicle-Core,767
OpenHFT/Chronicle-Core,770
OpenHFT/Chronicle-Core,778
OpenHFT/Chronicle-Core,780
jdereg/java-util,282
jdereg/java-util,283
jdereg/java-util,286
