PR_ID,Contributors,Stars,Forks,Watchers,Duration_Days,Commits,Open_Issues,Closed_Issues,Pull_Requests
274,22,428,110,429,4456,2342,2,23,333
273,22,428,110,429,4456,2342,2,23,333
272,22,428,110,429,4456,2342,2,23,333
140,22,428,110,429,4456,2342,2,23,333
328,34,186,61,189,3921,1786,1,111,224
997,55,557,132,565,3961,5652,21,420,790
998,55,557,132,565,3961,5652,21,420,790
999,55,557,132,565,3961,5652,21,420,790
13,1,179,67,190,2180,113,0,6,19
204,22,428,110,429,4456,2342,2,23,333
207,22,428,110,429,4456,2342,2,23,333
168,41,1854,372,1880,4443,682,7,68,116
173,41,1854,372,1880,4443,682,7,68,116
208,22,428,110,429,4456,2342,2,23,333
209,22,428,110,429,4456,2342,2,23,333
210,22,428,110,429,4456,2342,2,23,333
211,22,428,110,429,4456,2342,2,23,333
212,22,428,110,429,4456,2342,2,23,333
213,22,428,110,429,4456,2342,2,23,333
215,22,428,110,429,4456,2342,2,23,333
246,22,428,110,429,4456,2342,2,23,333
247,22,428,110,429,4456,2342,2,23,333
248,22,428,110,429,4456,2342,2,23,333
249,22,428,110,429,4456,2342,2,23,333
254,22,428,110,429,4456,2342,2,23,333
159,29,107,38,111,3921,557,1,26,138
3002,26,411,75,416,3874,8126,969,1739,370
348,22,428,110,429,4456,2342,2,23,333
349,22,428,110,429,4456,2342,2,23,333
350,22,428,110,429,4456,2342,2,23,333
351,22,428,110,429,4456,2342,2,23,333
152,22,428,110,429,4456,2342,2,23,333
275,34,186,61,189,3921,1786,1,111,224
282,34,186,61,189,3921,1786,1,111,224
360,22,428,110,429,4456,2342,2,23,333
270,22,428,110,429,4456,2342,2,23,333
139,41,1854,372,1880,4443,682,7,68,116
141,41,1854,372,1880,4443,682,7,68,116
150,41,1854,372,1880,4443,682,7,68,116
418,46,337,114,341,4459,2447,2,131,293
277,34,186,61,189,3921,1786,1,111,224
280,34,186,61,189,3921,1786,1,111,224
3004,26,411,75,416,3874,8126,969,1739,370
3557,275,63892,5443,70064,1027,4170,352,1116,3245
1100,55,557,132,565,3961,5652,21,420,790
277,22,428,110,429,4456,2342,2,23,333
5570,229,6182,2867,6661,4965,9400,395,4175,1114
167,41,1854,372,1880,4443,682,7,68,116
169,41,1854,372,1880,4443,682,7,68,116
92,29,107,38,111,3921,557,1,26,138
104,29,107,38,111,3921,557,1,26,138
109,29,107,38,111,3921,557,1,26,138
123,29,107,38,111,3921,557,1,26,138
135,29,107,38,111,3921,557,1,26,138
136,29,107,38,111,3921,557,1,26,138
138,29,107,38,111,3921,557,1,26,138
142,29,107,38,111,3921,557,1,26,138
144,29,107,38,111,3921,557,1,26,138
148,29,107,38,111,3921,557,1,26,138
150,29,107,38,111,3921,557,1,26,138
153,29,107,38,111,3921,557,1,26,138
325,46,337,114,341,4459,2447,2,131,293
328,46,337,114,341,4459,2447,2,131,293
332,46,337,114,341,4459,2447,2,131,293
18,4,200,4,211,1184,352,0,9,12
8,1,179,67,190,2180,113,0,6,19
21,1,179,67,190,2180,113,0,6,19
317,22,428,110,429,4456,2342,2,23,333
318,22,428,110,429,4456,2342,2,23,333
319,22,428,110,429,4456,2342,2,23,333
320,22,428,110,429,4456,2342,2,23,333
524,54,155,67,165,1206,1690,0,208,315
525,54,155,67,165,1206,1690,0,208,315
409,46,337,114,341,4459,2447,2,131,293
225,22,428,110,429,4456,2342,2,23,333
140,41,1854,372,1880,4443,682,7,68,116
148,41,1854,372,1880,4443,682,7,68,116
1096,55,557,132,565,3961,5652,21,420,790
502,54,155,67,165,1207,1690,0,208,315
506,54,155,67,165,1207,1690,0,208,315
212,32,746,52,831,911,650,46,119,94
330,46,337,114,341,4459,2447,2,131,293
331,46,337,114,341,4459,2447,2,131,293
333,46,337,114,341,4459,2447,2,131,293
336,46,337,114,341,4459,2447,2,131,293
144,30,230,62,231,4135,826,1,32,167
145,30,230,62,231,4135,826,1,32,167
147,30,230,62,231,4135,826,1,32,167
149,30,230,62,231,4135,826,1,32,167
154,30,230,62,231,4135,826,1,32,167
157,30,230,62,231,4135,826,1,32,167
159,30,230,62,231,4135,826,1,32,167
160,30,230,62,231,4135,826,1,32,167
166,30,230,62,231,4135,826,1,32,167
170,30,230,62,231,4135,826,1,32,167
171,30,230,62,231,4135,826,1,32,167
172,30,230,62,231,4135,826,1,32,167
173,30,230,62,231,4135,826,1,32,167
174,30,230,62,231,4135,826,1,32,167
175,30,230,62,231,4135,826,1,32,167
177,30,230,62,231,4135,826,1,32,167
178,30,230,62,231,4135,826,1,32,167
181,30,230,62,231,4135,826,1,32,167
185,30,230,62,231,4135,826,1,32,167
189,30,230,62,231,4135,826,1,32,167
1122,55,557,132,565,3961,5652,21,420,790
1123,55,557,132,565,3961,5652,21,420,790
1124,55,557,132,565,3961,5652,21,420,790
